epoch,train_loss,test_acc@1,test_acc@5
1,5.943397548871163,41.23,89.78
2,5.763529454744779,46.160000000000004,92.10000000000001
3,5.685869087317051,50.470000000000006,93.78
4,5.641844590504964,53.16,94.46
5,5.607539480160444,53.89000000000001,94.97
6,5.588099103096204,55.57,95.44
7,5.573061180114746,56.93,95.81
8,5.559569180317414,57.8,95.85000000000001
9,5.548711074926914,58.269999999999996,96.08
10,5.5391678859026,59.29,96.47
11,5.531745839730287,60.099999999999994,96.44
12,5.522589857150347,60.58,96.55
13,5.521196328676664,61.07,96.58
14,5.513838137113131,61.72,96.6
15,5.510997290489001,61.150000000000006,96.83
16,5.503863102350479,62.0,96.93
17,5.5024008579743215,61.870000000000005,96.93
18,5.495556334960155,62.81,97.11
19,5.490813010778183,62.72,97.16
20,5.48928723457532,62.849999999999994,97.13000000000001
21,5.486847965533917,62.870000000000005,97.23
22,5.483868193015074,64.03999999999999,97.38
23,5.4805222902542505,63.519999999999996,97.44
24,5.4764440512045836,63.09,97.37
25,5.474221459413186,63.370000000000005,97.28
26,5.471343776507255,64.14999999999999,97.39
27,5.46818640537751,63.800000000000004,97.50999999999999
28,5.465788293496156,64.75,97.61999999999999
29,5.463371988443228,64.57000000000001,97.28999999999999
30,5.460688224205604,63.72,97.38
31,5.459247525533041,64.19,97.48
32,5.459243339147323,65.31,97.67
33,5.457838185628256,65.69,97.55
34,5.455583821810209,65.4,97.76
35,5.453052677252354,65.05,97.74000000000001
36,5.4518994037921615,65.39,97.48
37,5.4495558200738365,65.69,97.78
38,5.445956386663975,65.75999999999999,97.89999999999999
39,5.445979702778351,65.49000000000001,97.61999999999999
40,5.443152794471154,66.33,97.72999999999999
41,5.441677169310741,66.44,97.8
42,5.441554402082394,66.11,97.64
43,5.439931852389605,66.18,97.65
44,5.438364498431866,66.53,97.7
45,5.438696773235614,67.19000000000001,97.89999999999999
46,5.435897399217654,66.16,97.91
47,5.435138421180921,65.69,97.96000000000001
48,5.43187281535222,65.86999999999999,97.58
49,5.432126962221586,66.86,97.89999999999999
50,5.432071208953857,67.06,97.89
51,5.43080386137351,66.94,97.83
52,5.430434833428799,66.97999999999999,97.81
53,5.42803268921681,67.34,97.85000000000001
54,5.42623190513024,67.52,97.89999999999999
55,5.42720775604248,67.51,98.11999999999999
56,5.425763841775748,67.78,98.05
57,5.425334901076097,66.77,97.98
58,5.421435099381667,68.12,98.04
59,5.422514098729843,66.74,98.0
60,5.421333665114183,67.30000000000001,97.87
61,5.4206502694350025,68.16,98.15
62,5.420024585723877,67.80000000000001,98.03
63,5.4193121078686834,66.91,98.00999999999999
64,5.4195505655728855,67.82000000000001,97.94
65,5.416753284747784,67.34,98.05
66,5.417330394647061,67.89,98.11
67,5.417820042830247,68.08999999999999,98.0
68,5.413929861019819,68.06,98.17
69,5.416110515594482,67.82000000000001,98.1
70,5.4147596139174246,68.25,98.07000000000001
71,5.412855549347706,68.01,98.05
72,5.412548952836257,68.19,98.2
73,5.411715365678836,68.73,98.03
74,5.412073333446796,67.51,98.11
75,5.409464293259841,68.08999999999999,98.14
76,5.409254773457845,68.67,98.09
77,5.409636685787103,68.75,98.32
78,5.408965279505803,67.75,98.16
79,5.405856555547469,68.4,98.06
80,5.406765937805176,68.06,98.1
81,5.40743920986469,68.8,98.22
82,5.4065295684031955,68.07,98.05
83,5.4048865513923845,68.43,98.21
84,5.402783753321721,68.78,98.06
85,5.405987793360001,68.87,98.08
86,5.402059780023037,68.74,98.06
87,5.4046635065323265,68.78,97.99
88,5.400330697573148,68.96,98.15
89,5.40215271680783,68.97,98.17
90,5.401686286926269,68.67999999999999,98.27
91,5.403439235687256,68.7,98.13
92,5.398139931605413,69.23,98.3
93,5.401554684761243,68.87,98.24000000000001
94,5.400539987515181,68.93,98.11
95,5.3993405097570175,69.1,98.2
96,5.398465987963554,69.45,98.41
97,5.395968341827393,69.06,98.25
98,5.396748640598395,69.08999999999999,98.21
99,5.3986178251413195,69.36,98.28
100,5.39765374599359,68.55,98.11
