epoch,train_loss,test_acc@1,test_acc@5
1,6.181456636771178,36.39,87.61
2,5.9460262983273235,38.23,88.78
3,5.880111462030655,40.2,89.39
4,5.829452671148839,41.6,89.83
5,5.793873635316507,42.93,90.81
6,5.7566653373913885,44.82,91.51
7,5.7307212022634655,45.86,92.19000000000001
8,5.701734674893893,47.31,92.34
9,5.683171279613788,47.89,92.5
10,5.66655178803664,49.41,93.36
11,5.650998658400315,50.92,93.74
12,5.635951851575802,50.83,93.97999999999999
13,5.623712351383307,52.800000000000004,94.52000000000001
14,5.611332198901054,53.32,94.82000000000001
15,5.603354334219908,54.06999999999999,95.02000000000001
16,5.591993894332495,54.669999999999995,95.30999999999999
17,5.58495590992463,54.97,95.3
18,5.580302871801915,55.06999999999999,95.39999999999999
19,5.572447578723614,55.97,95.89
20,5.564745697608361,56.31,95.62
21,5.559166683294834,56.87,95.91
22,5.555208497169691,57.42,95.95
23,5.548700261727357,57.410000000000004,95.96000000000001
24,5.544323444366455,58.14,96.00999999999999
25,5.540710224249424,57.95,96.17
26,5.5357953854096245,58.51,96.05
27,5.533446737436148,58.5,96.37
28,5.52760368738419,58.57,96.2
29,5.523590608743521,59.099999999999994,96.23
30,5.526254756634052,59.85,96.47
31,5.520852739383013,58.699999999999996,96.47
32,5.519211128430489,59.260000000000005,96.38
33,5.514009710458609,59.3,96.49
34,5.510814813467173,60.41,96.61
35,5.508208851936536,60.31999999999999,96.63000000000001
36,5.5085037060273,61.040000000000006,96.57
37,5.503238731775529,60.540000000000006,96.67999999999999
38,5.500507457439716,60.89,96.73
39,5.498212670057248,60.199999999999996,96.69
40,5.498365187033629,61.25000000000001,96.76
41,5.49638695594592,61.63999999999999,96.77
42,5.494705554766533,61.22,96.84
43,5.492037892952943,61.45,96.67999999999999
44,5.49182621882512,61.660000000000004,97.02
45,5.4874680519104,61.480000000000004,96.84
46,5.4892084659674225,60.73,96.87
47,5.484640314640143,62.050000000000004,96.98
48,5.4834072455381735,62.28,97.27
49,5.4828617536104645,62.019999999999996,96.8
50,5.479164387629583,62.22,96.88
51,5.478747741992657,62.12,97.14
52,5.478267762599847,62.83,97.07000000000001
53,5.476371136689798,62.89,97.13000000000001
54,5.4761458445818,63.449999999999996,96.96000000000001
55,5.475055873088348,63.09,97.17
56,5.472897896399865,62.72,97.06
57,5.470724665812957,62.739999999999995,97.16
58,5.4722994339771756,63.11,97.39
59,5.466282776074531,63.349999999999994,97.2
60,5.466680316435985,63.05,97.19
61,5.468306592794565,63.23,97.47
62,5.4659610968369705,63.05,97.19
63,5.463860015380077,63.339999999999996,97.26
64,5.4649169995234566,63.41,97.36
65,5.462538051605224,63.39,97.2
66,5.4608920317429765,63.27,97.06
67,5.4602569042108,64.14,97.25
68,5.460557715098063,63.849999999999994,97.31
69,5.459260757152851,63.6,97.42
70,5.459613494383983,63.6,97.27
71,5.456110029954177,63.99,97.39
72,5.456264674357879,64.41,97.49
73,5.454212220509847,63.5,97.19
74,5.453160929068541,64.44,97.41
75,5.452478088476719,64.24,97.36
76,5.452810955047608,63.83,97.28
77,5.451339751023513,65.0,97.63
78,5.450030639844063,64.42,97.46000000000001
79,5.448707773746588,64.66,97.46000000000001
80,5.448118388347137,64.62,97.45
81,5.450470665173653,65.22,97.48
82,5.448373887477777,64.46,97.47
83,5.44710066135113,64.75999999999999,97.48
84,5.4442185842073885,64.56,97.54
85,5.445994548308543,64.64,97.44
86,5.443306646591577,63.959999999999994,97.49
87,5.443149992135855,64.37,97.48
88,5.443890082530486,65.56,97.66
89,5.44302179874518,65.97,97.75
90,5.440277459071233,65.18,97.55
91,5.441050815582275,65.34,97.66
92,5.441929912567138,65.82000000000001,97.59
93,5.43930005538158,66.10000000000001,97.69
94,5.440207955776117,65.21000000000001,97.56
95,5.439376488710061,65.53,97.69
96,5.439070867880797,65.41,97.74000000000001
97,5.437552755306928,66.08000000000001,97.78
98,5.437385214292086,66.16,97.78
99,5.435998999766815,66.28,97.63
100,5.435401723323724,65.68,97.78
