epoch,train_loss,test_acc@1,test_acc@5
1,6.069064867865179,38.2,87.94
2,5.881144720254485,39.43,88.74
3,5.813937850834168,41.31,89.89
4,5.751916462613135,42.88,90.81
5,5.716540636475553,44.37,91.78
6,5.693210316687515,45.18,92.17
7,5.674105319780173,45.04,92.13
8,5.655368082302132,46.160000000000004,92.53
9,5.638547995655807,47.099999999999994,92.97999999999999
10,5.625822416285879,47.63,93.23
11,5.621574146231425,48.69,93.58
12,5.606902879537995,49.89,93.62
13,5.594699176316409,49.980000000000004,93.57
14,5.58898814683108,50.67,94.21000000000001
15,5.582809728445466,49.7,93.81
16,5.578250418004301,50.8,94.47
17,5.569204473003898,51.07000000000001,94.77
18,5.567721037520576,52.56999999999999,94.74000000000001
19,5.562263606749859,53.269999999999996,95.02000000000001
20,5.5578902333053115,52.64,94.82000000000001
21,5.551147092248976,51.92,94.63000000000001
22,5.546002201198303,53.87,94.97
23,5.541342179799817,54.279999999999994,95.22
24,5.537891201137268,54.14,95.39
25,5.535743678967977,53.300000000000004,95.41
26,5.529439080621779,54.66,95.19999999999999
27,5.53252886251076,54.459999999999994,95.34
28,5.529635281906915,55.720000000000006,95.43
29,5.521943741237994,55.059999999999995,95.78
30,5.522014145998611,54.459999999999994,95.58
31,5.520299641127439,55.589999999999996,95.52000000000001
32,5.510731077685799,54.949999999999996,95.7
33,5.513151080337996,55.71,95.39999999999999
34,5.513407387684301,56.74,95.67
35,5.5109619455239205,56.31,95.87
36,5.505922081544227,55.88999999999999,95.86
37,5.501935250980338,57.19,95.91
38,5.501261317852846,57.03,95.93
39,5.499651810557572,56.65,95.71
40,5.5010979691731565,56.3,95.87
41,5.494259598328895,57.28,96.15
42,5.496971327004974,57.620000000000005,96.14
43,5.491122565318629,57.19,95.93
44,5.490029693878803,57.410000000000004,96.25
45,5.485619451581817,57.53,96.11
46,5.488393439460046,57.29,96.22
47,5.486697713124383,57.74,96.46000000000001
48,5.484839522961488,58.919999999999995,96.6
49,5.479358078278217,58.39,96.17
50,5.479693034260543,58.809999999999995,96.5
51,5.480670348885133,57.8,96.37
52,5.474747303834896,58.9,96.61
53,5.476087707834146,59.45,96.28999999999999
54,5.480584041359498,57.98,96.3
55,5.471346702772317,58.330000000000005,96.46000000000001
56,5.472203377595882,59.709999999999994,96.50999999999999
57,5.466922445395558,58.650000000000006,96.59
58,5.467304637751629,58.91,96.33
59,5.465345417101359,59.78,96.39999999999999
60,5.464900547696143,59.11,96.64
61,5.461953920187409,59.330000000000005,96.78999999999999
62,5.464960614430535,59.64,96.6
63,5.462712022447095,59.17,96.59
64,5.459560482772355,59.830000000000005,96.78
65,5.458017624530596,59.51,96.71
66,5.457907504642133,59.34,96.52
67,5.457836745940533,59.85,96.78999999999999
68,5.456040962455199,59.660000000000004,96.53
69,5.454383476493285,59.79,96.50999999999999
70,5.44966449442598,61.08,97.11
71,5.455330706134285,60.19,97.06
72,5.447896283926423,60.9,96.96000000000001
73,5.449745153643422,60.67,96.89999999999999
74,5.447957235513274,61.019999999999996,96.85000000000001
75,5.447410780129974,60.75000000000001,96.86
76,5.444451848256219,60.18,96.95
77,5.449982053225803,61.24000000000001,97.05
78,5.444560783425557,61.160000000000004,97.06
79,5.44290521464397,61.73,97.13000000000001
80,5.444895562437392,62.160000000000004,97.14
81,5.438308907538345,61.78,96.89
82,5.441032331014417,61.23,96.96000000000001
83,5.439088742757581,61.63999999999999,96.89
84,5.439844937668633,60.75000000000001,96.8
85,5.4407235617490155,61.58,97.13000000000001
86,5.436841856573046,61.809999999999995,97.28999999999999
87,5.435233435679957,61.050000000000004,97.11
88,5.433488486968365,61.83,97.02
89,5.4362238313733915,61.919999999999995,97.18
90,5.4320686428817275,62.62,97.24000000000001
91,5.43546421994868,61.1,97.08
92,5.434366255691371,62.62,97.15
93,5.429531013842711,62.19,97.41
94,5.430554188403887,61.260000000000005,96.88
95,5.432617079351366,62.41,97.15
96,5.427836324750762,62.01,97.2
97,5.427779856416368,62.21,97.44
98,5.4277444082437105,61.919999999999995,97.02
99,5.427689100049205,61.83,97.08
100,5.427795336418545,61.69,97.18
